institutioncode,institution,collectioncode,catalognumber,recordnumber,scientificname,kingdom,phylum,class,order,family,clade,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,vernacularname,sex
CUMV,Cornell University Museum of Vertebrates,Bird,48328,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
CUMV,Cornell University Museum of Vertebrates,Bird,48921,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CUMV,Cornell University Museum of Vertebrates,Bird,49013,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,49026,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CUMV,Cornell University Museum of Vertebrates,Bird,49766,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CUMV,Cornell University Museum of Vertebrates,Bird,50452,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,female
CUMV,Cornell University Museum of Vertebrates,Bird,51878,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
CUMV,Cornell University Museum of Vertebrates,Bird,51879,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,57247,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,male
CUMV,Cornell University Museum of Vertebrates,Bird,57248,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,male
DMNH,Delaware Museum of Natural History,Bird,74086,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
DMNH,Delaware Museum of Natural History,Bird,79342,TSBR 91-1324,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
DMNH,Delaware Museum of Natural History,Bird,79483,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
DMNH,Delaware Museum of Natural History,Bird,82652,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
DMNH,Delaware Museum of Natural History,Bird,82653,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
DMNH,Delaware Museum of Natural History,Bird,82705,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
DMNH,Delaware Museum of Natural History,Bird,84111,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
DMNS,Delaware Museum of Natural History,Bird specimens,DMNS:Bird:44336,,Selasphorus sp.,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Selasphorus,,,,genus,,,female
LSUMZ,Louisiana State University Museum of Natural Science,Birds,112277,,Panterpe insignis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Panterpe,,insignis,,species,,Fiery-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,163136,,Phaethornis malaris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Phaethornis,,malaris,,species,,Great-billed Hermit,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165775,,Phaethornis bourcieri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Phaethornis,,bourcieri,,species,,Straight-billed Hermit,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165793,,Phaethornis longirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Phaethornis,,longirostris,,species,,Long-billed Hermit,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,150459,,Chlorostilbon maugaeus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Chlorostilbon,,maugaeus,,species,,Puerto Rican Emerald,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,150467,,Orthorhyncus cristatus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Orthorhyncus,,cristatus,,species,,Antillean Crested Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,163138,,Thalurania furcata,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,furcata,,species,, Fork-tailed woodnymph,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,163139,,Taphrospilus hypostictus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Taphrospilus,,hypostictus,,species,,Many-spotted Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,163856,,Campylopterus hemileucurus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Campylopterus,,hemileucurus,,species,,Violet Sabrewing,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,163857,,Eupherusa eximia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Eupherusa,,eximia,,species,,Stripe-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,163858,,Eupherusa nigriventris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Eupherusa,,nigriventris,,species,,Black-bellied Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165776,,Thalurania furcata,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Thalurania,,furcata,,species,, Fork-tailed woodnymph,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165794,,Campylopterus largipennis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Campylopterus,,largipennis,,species,,Grey-breasted sabrewing,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,168149,,Amazilia yucatanensis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,yucatanensis,,species,,Buff-bellied Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,177779,,Lepidopyga coeruleogularis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Lepidopyga,,coeruleogularis,,species,,Sapphire-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,157376,,Polyonymus caroli,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coquettes,Polyonymus,,caroli,,species,,Bronze-tailed Comet,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,105273,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,105274,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,126335,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,126336,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,126337,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,126338,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,126339,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,152826,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,152827,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,152829,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,152830,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,152993,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,154142,,Selasphorus flammula,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,flammula,,species,,Volcano Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,154984,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,157026,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,157240,,Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,157241,,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calypte,,anna,,species,,Anna's Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,159105,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,159964,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,159973,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,159990,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,159991,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,160134,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,160155,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165569,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165570,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165571,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165682,,Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165683,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165686,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,165687,,Selasphorus platycercus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,166005,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,168153,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,171703,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,173332,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,173333,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,173347,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,180046,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,180047,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,180048,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,180972,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,181003,,Stellula calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Stellula,,calliope,,species,,Calliope Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,181020,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,181163,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,182140,,Calothorax lucifer,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Calothorax,,lucifer,,species,,Lucifer Hummingbird,undetermined
LSUMZ,Louisiana State University Museum of Natural Science,Birds,182471,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MCZ,Museum of Comparative Zoology,Orn,335462,,Florisuga mellivora,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Topazes,Florisuga,,mellivora,,,,White-necked Jacobin,female
MCZ,Museum of Comparative Zoology,Orn,335463,,Florisuga mellivora,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Topazes,Florisuga,,mellivora,,,,White-necked Jacobin,male
MCZ,Museum of Comparative Zoology,Orn,337052,,Heliomaster constantii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Mountain Gems,Heliomaster,,constantii,,,,Plain-capped Starthroat,male
MCZ,Museum of Comparative Zoology,Orn,347999,,Eutoxeres aquila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Hermits,Eutoxeres,,aquila,,,,White-tipped Sicklebill,male
MCZ,Museum of Comparative Zoology,Orn,337322,,Eupherusa eximia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Eupherusa,,eximia,,,,Stripe-tailed Hummingbird,male
MCZ,Museum of Comparative Zoology,Orn,348002,,Chlorostilbon canivetii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Chlorostilbon,,canivetii,,,,Canivet's Emerald,male
MCZ,Museum of Comparative Zoology,Orn,338477,,Selasphorus rufus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Selasphorus,,rufus,,,,Rufous Hummingbird,undetermined
MCZ,Museum of Comparative Zoology,Orn,348264,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,,,Ruby-throated Hummingbird,undetermined
MCZ,Museum of Comparative Zoology,Orn,348267,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,,,Ruby-throated Hummingbird,female
MLZ,Museum of Comparative Zoology,Bird specimens,MLZ:Bird:68976,,Archilochus colubris,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
MMNH,Bell Museum of Natural History,Bird,46448,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,48483,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
MMNH,Bell Museum of Natural History,Bird,48484,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,48713,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
MMNH,Bell Museum of Natural History,Bird,48769,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49062,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49063,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49217,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49340,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49341,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49410,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49473,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49492,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49501,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49502,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49540,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49551,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49552,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,female
MMNH,Bell Museum of Natural History,Bird,49553,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49554,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49560,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49600,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49607,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49652,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49700,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49721,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49810,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49819,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,49950,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49956,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49975,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,49979,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50043,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50091,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50139,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50151,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50153,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50154,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50168,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50179,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50275,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50358,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
MMNH,Bell Museum of Natural History,Bird,50359,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined
MMNH,Bell Museum of Natural History,Bird,50369,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Bees,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,male
