MCZ,Orn,348267,,Archilochus colubris,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,,,,female,,tissue (frozen); partial skeleton (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen),not applicable
MMNH,Bird,50395,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49950,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49810,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49721,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49560,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49979,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49600,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49819,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50154,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50370,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50151,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49551,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50415,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50396,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50043,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49553,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49217,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50091,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,48713,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,tissue | wing,
MMNH,Bird,49540,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49554,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50385,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50382,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49502,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49492,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50381,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50168,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50359,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,48483,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,tissue | wing,
MMNH,Bird,49700,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50179,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,46448,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,undetermined,present,tissue | wing,
UF,Birds,22051,,Archilochus colubris,,APODIFORMES | TROCHILIDAE | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,skeleton | wing,
UF,Birds,40635,TERRY TAYLOR 126,Archilochus colubris,,| TROCHILIDAE | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,skeleton | wing,
UMMZ,birds,245684,,Archilochus colubris,,Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,,"Wings_tail; Y; L spread wing; |Tissue; Y; H, M; |Skel; Y;",
UWBM,Bird,91478,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,Ruby-throated Hummingbird,undetermined,present,round/wing | tissue,
 ,Birds,S12205,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,Skeleton and Wing | tissue,
CM,Birds,S13312,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,"Skeleton, Wing, and Tail | tissue",
CM,Birds,S13525,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,Skeleton and Wing | tissue,
CM,Birds,S16279,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,"Skeleton, Wing, and Tail | tissue",
CM,Birds,S16280,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,"Skeleton, Wing, and Tail | tissue",
CM,Birds,S16494,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,"Skeleton, Wing, and Tail | tissue",
CM,Birds,S6861,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,Skeleton and Wing | tissue,
CM,Birds,S7560,,Archilochus colubris,,Apodiformes | Trochilidae |  | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,Skeleton and Wing | tissue,
CMNH,Birds,71909,,Archilochus colubris,,| Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,skin/wing/tissue saved,
CMNH,Birds,72445,,Archilochus colubris,,| Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,skin/wing/tissue saved,
CMNH,Birds,72447,,Archilochus colubris,,| Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,skin/wing/tissue saved,
CUMV,Bird,44124,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,spread wing; tail (dry),
CUMV,Bird,48921,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,study skin; spread wing,
CUMV,Bird,49013,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,spread wing; study skin,
CUMV,Bird,51879,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,spread wing; whole organism (C & S); tissue (frozen),
CUMV,Bird,51878,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,spread wing; tissue (frozen); whole organism (C & S),
CUMV,Bird,48328,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,study skin; spread wing,
MCZ,Orn,348264,,Archilochus colubris,,Animalia Chordata Vertebrata Aves Neornithes Apodiformes Trochili Trochilidae Archilochus colubris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,,,,undetermined,,tissue (frozen: vapor phase nitrogen); spread wing (dry),not applicable
MMNH,Bird,50139,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50413,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,tissue | wing,
MMNH,Bird,49410,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50369,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50358,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49473,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50275,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49552,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,tissue | wing,
MMNH,Bird,49652,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49062,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50384,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49501,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50398,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50397,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50488,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,tissue | wing,
MMNH,Bird,50383,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49340,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49956,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,48484,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,50380,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49341,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,49607,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50399,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,tissue | wing,
MMNH,Bird,49063,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,48769,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
MMNH,Bird,50153,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,tissue | wing,
MMNH,Bird,49975,,Archilochus colubris,,|  |  | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,tissue | wing,
NYSM,ZO,zo-10712,,Archilochus colubris,,Animalia | Chordata | Aves | [not recorded] | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,male,present,skeleton | tissue | wing,
OMNH,Birds,23156,,Archilochus colubris,,,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,,,Ruby-throated Hummingbird,male,,"Spread Wing, Tail ,tissue",
UAM,Bird specimens,UAM:Bird:22452,,Archilochus colubris,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,colubris,,species,,,undetermined,,tissue (frozen); stomach; wing; skeleton,
UF,Birds,21971,,Archilochus colubris,,APODIFORMES | TROCHILIDAE | ARCHILOCHUS,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,wing,
CUMV,Bird,44123,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,female,present,spread wing; tail (dry),
CUMV,Bird,37143,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,study skin; spread wing,
LSUMZ,Birds,105274,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,152829,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,157026,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,168153,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,173333,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,182471,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,105273,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,152826,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,152827,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,152830,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,159964,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,159973,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,159990,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,159991,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,160134,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,160155,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,173332,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,173347,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,180972,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,181163,,Archilochus colubris,,|  |  |  |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,colubris,,species,,,,present,Skeleton & Spread Wing,
University of Alberta Museums,UAMZ,B7455,,Archilochus colubris,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,Archilochus colubris,,Species,,ruby-throated hummingbird,undetermined,,wing,
YPM,VZ,YPM ORN 142541,,Atthis ellioti ellioti,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Atthis,,ellioti,ellioti,Subspecies,,Wine-throated Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,tissue frozen (skin and wing voucher at Museo de Historia Natural de la Universidad de San Carlos de Guatemala),
YPM,VZ,YPM ORN 142512,,Atthis ellioti ellioti,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Atthis,,ellioti,ellioti,Subspecies,,Wine-throated Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142540,,Atthis ellioti ellioti,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Atthis,,ellioti,ellioti,Subspecies,,Wine-throated Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,tissue frozen (skin and wing voucher at Museo de Historia Natural de la Universidad de San Carlos de Guatemala),
YPM,VZ,YPM ORN 142511,,Atthis ellioti ellioti,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Atthis,,ellioti,ellioti,Subspecies,,Wine-throated Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; skeleton (incomplete); wing; tissue frozen",
CM,Birds,S13280,,Boissonneaua matthewsii,,Apodiformes | Trochilidae |  | BOISSONNEAUA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Boissonneaua,,matthewsii,,species,,,undetermined,present,"Skeleton, Wing, and Tail | tissue",
YPM,VZ,YPM ORN 141902,,Calliphlox bryantae,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calliphlox,,bryantae,,Species,,Magenta-throated Woodstar; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 141940,,Calliphlox bryantae,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calliphlox,,bryantae,,Species,,Magenta-throated Woodstar; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142570,,Calliphlox evelynae,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calliphlox,,evelynae,,Species,,Bahama Woodstar; Hummingbirds; Birds; vertebrates; chordates; animals,male male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142574,,Calliphlox evelynae,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calliphlox,,evelynae,,Species,,Bahama Woodstar; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142572,,Calliphlox evelynae,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calliphlox,,evelynae,,Species,,Bahama Woodstar; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142569,,Calliphlox evelynae,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calliphlox,,evelynae,,Species,,Bahama Woodstar; Hummingbirds; Birds; vertebrates; chordates; animals,female female,,"skin, round; wing; tissue frozen",
